SENSE daab 1 26-04-2019 03:34:19.873 T: 29.01599884033203 [C]; A:[0, 0, 0]; H: 72.45306396484375
SENSE daaa 893 26-04-2019 03:44:06.366 T: 28.57919883728027 [C]; A:[114, 76, 212]; H: 71.15606689453125
SENSE daab 893 26-04-2019 03:44:06.549 T: 29.39039993286132 [C]; A:[84, 2, 222]; H: 71.4993896484375
SENSE daab 893 26-04-2019 03:44:06.549 T: 29.39039993286132 [C]; A:[84, 2, 222]; H: 71.4993896484375
SENSE daaa 894 26-04-2019 03:44:06.764 T: 28.57919883728027 [C]; A:[116, 78, 212]; H: 71.15606689453125
SENSE daac 641 26-04-2019 03:44:06.606 T: 29.88959884643554 [C]; A:[-32, -8, 192]; H: 69.76751708984375
SENSE daab 894 26-04-2019 03:44:06.951 T: 29.45279884338378 [C]; A:[84, 0, 220]; H: 71.4993896484375
SENSE daab 894 26-04-2019 03:44:06.951 T: 29.45279884338378 [C]; A:[84, 0, 220]; H: 71.4993896484375
SENSE daaa 895 26-04-2019 03:44:07.162 T: 28.57919883728027 [C]; A:[118, 72, 210]; H: 71.15606689453125
SENSE daac 642 26-04-2019 03:44:07.171 T: 29.88959884643554 [C]; A:[-32, -8, 200]; H: 69.76751708984375
SENSE daaa 896 26-04-2019 03:44:07.570 T: 28.51679992675781 [C]; A:[116, 76, 208]; H: 71.15606689453125
SENSE daab 896 26-04-2019 03:44:07.733 T: 29.45279884338378 [C]; A:[84, 0, 216]; H: 71.4993896484375
SENSE daac 643 26-04-2019 03:44:07.741 T: 29.95199966430664 [C]; A:[-36, -6, 198]; H: 69.76751708984375
SENSE daab 897 26-04-2019 03:44:08.136 T: 29.39039993286132 [C]; A:[84, 0, 224]; H: 71.4993896484375
SENSE daac 644 26-04-2019 03:44:08.301 T: 29.95199966430664 [C]; A:[-32, -10, 198]; H: 69.76751708984375
SENSE daab 898 26-04-2019 03:44:08.534 T: 29.39039993286132 [C]; A:[84, 0, 216]; H: 71.4993896484375
SENSE daaa 899 26-04-2019 03:44:08.710 T: 28.57919883728027 [C]; A:[118, 72, 212]; H: 71.15606689453125
SENSE daab 899 26-04-2019 03:44:08.936 T: 29.39039993286132 [C]; A:[82, 0, 216]; H: 71.4993896484375
SENSE daaa 900 26-04-2019 03:44:09.108 T: 28.51679992675781 [C]; A:[114, 74, 208]; H: 71.15606689453125
SENSE daac 645 26-04-2019 03:44:08.861 T: 29.95199966430664 [C]; A:[-30, -10, 198]; H: 69.76751708984375
SENSE daab 900 26-04-2019 03:44:09.340 T: 29.39039993286132 [C]; A:[88, 0, 222]; H: 71.4993896484375
SENSE daaa 901 26-04-2019 03:44:09.526 T: 28.51679992675781 [C]; A:[118, 76, 214]; H: 71.15606689453125
SENSE daac 646 26-04-2019 03:44:09.421 T: 29.95199966430664 [C]; A:[-32, -6, 194]; H: 69.76751708984375
SENSE daab 901 26-04-2019 03:44:09.737 T: 29.45279884338378 [C]; A:[80, 0, 222]; H: 71.4993896484375
SENSE daac 647 26-04-2019 03:44:09.991 T: 29.95199966430664 [C]; A:[-34, -12, 192]; H: 69.76751708984375
SENSE daaa 903 26-04-2019 03:44:10.288 T: 28.57919883728027 [C]; A:[118, 74, 210]; H: 71.15606689453125
SENSE daaa 904 26-04-2019 03:44:10.691 T: 28.57919883728027 [C]; A:[120, 72, 208]; H: 71.15606689453125
SENSE daac 648 26-04-2019 03:44:10.551 T: 29.95199966430664 [C]; A:[-32, -10, 196]; H: 69.76751708984375
SENSE daab 904 26-04-2019 03:44:10.882 T: 29.45279884338378 [C]; A:[88, 0, 214]; H: 71.4993896484375
SENSE daaa 905 26-04-2019 03:44:11.094 T: 28.57919883728027 [C]; A:[116, 70, 210]; H: 71.15606689453125
SENSE daac 649 26-04-2019 03:44:11.122 T: 29.88959884643554 [C]; A:[-30, -10, 196]; H: 69.79803466796875
SENSE daaa 906 26-04-2019 03:44:11.492 T: 28.57919883728027 [C]; A:[114, 72, 210]; H: 71.15606689453125
SENSE daab 906 26-04-2019 03:44:11.648 T: 29.39039993286132 [C]; A:[86, 0, 216]; H: 71.4993896484375
SENSE daac 650 26-04-2019 03:44:11.681 T: 29.95199966430664 [C]; A:[-34, -10, 202]; H: 69.79803466796875
SENSE daab 907 26-04-2019 03:44:12.051 T: 29.45279884338378 [C]; A:[86, 0, 220]; H: 71.4993896484375
SENSE daaa 908 26-04-2019 03:44:12.254 T: 28.51679992675781 [C]; A:[122, 72, 210]; H: 71.15606689453125
SENSE daac 651 26-04-2019 03:44:12.242 T: 29.95199966430664 [C]; A:[-28, -10, 194]; H: 69.79803466796875
SENSE daaa 909 26-04-2019 03:44:12.667 T: 28.57919883728027 [C]; A:[116, 72, 214]; H: 71.15606689453125
SENSE daab 909 26-04-2019 03:44:12.812 T: 29.39039993286132 [C]; A:[86, 0, 218]; H: 71.4993896484375
SENSE daaa 910 26-04-2019 03:44:13.070 T: 28.57919883728027 [C]; A:[116, 74, 214]; H: 71.15606689453125
SENSE daac 652 26-04-2019 03:44:12.822 T: 29.95199966430664 [C]; A:[-30, -12, 200]; H: 69.79803466796875
SENSE daab 910 26-04-2019 03:44:13.210 T: 29.39039993286132 [C]; A:[84, 0, 224]; H: 71.4993896484375
SENSE daab 911 26-04-2019 03:44:13.608 T: 29.39039993286132 [C]; A:[86, 0, 222]; H: 71.4993896484375
SENSE daac 653 26-04-2019 03:44:13.382 T: 29.95199966430664 [C]; A:[-34, -8, 196]; H: 69.79803466796875
SENSE daaa 912 26-04-2019 03:44:13.841 T: 28.57919883728027 [C]; A:[120, 74, 206]; H: 71.15606689453125
SENSE daaa 913 26-04-2019 03:44:14.239 T: 28.51679992675781 [C]; A:[116, 74, 210]; H: 71.15606689453125
SENSE daac 654 26-04-2019 03:44:13.947 T: 29.95199966430664 [C]; A:[-30, -14, 198]; H: 69.76751708984375
SENSE daab 913 26-04-2019 03:44:14.394 T: 29.45279884338378 [C]; A:[88, 0, 216]; H: 71.4993896484375
SENSE daaa 914 26-04-2019 03:44:14.638 T: 28.57919883728027 [C]; A:[118, 72, 206]; H: 71.15606689453125
SENSE daac 655 26-04-2019 03:44:14.522 T: 29.95199966430664 [C]; A:[-32, -10, 202]; H: 69.76751708984375
SENSE daab 914 26-04-2019 03:44:14.817 T: 29.39039993286132 [C]; A:[86, 0, 218]; H: 71.4993896484375
SENSE daaa 915 26-04-2019 03:44:15.041 T: 28.57919883728027 [C]; A:[118, 70, 212]; H: 71.15606689453125
SENSE daac 656 26-04-2019 03:44:15.082 T: 29.95199966430664 [C]; A:[-30, -14, 196]; H: 69.76751708984375
SENSE daaa 916 26-04-2019 03:44:15.439 T: 28.57919883728027 [C]; A:[120, 72, 210]; H: 71.18658447265625
SENSE daab 916 26-04-2019 03:44:15.603 T: 29.39039993286132 [C]; A:[84, -6, 220]; H: 71.46124267578125
SENSE daaa 917 26-04-2019 03:44:15.837 T: 28.57919883728027 [C]; A:[118, 78, 214]; H: 71.18658447265625
SENSE daac 657 26-04-2019 03:44:15.642 T: 29.95199966430664 [C]; A:[-28, -8, 202]; H: 69.76751708984375
SENSE daab 917 26-04-2019 03:44:16.001 T: 29.39039993286132 [C]; A:[82, 0, 220]; H: 71.46124267578125
SENSE daaa 918 26-04-2019 03:44:16.245 T: 28.57919883728027 [C]; A:[120, 72, 210]; H: 71.18658447265625
SENSE daac 658 26-04-2019 03:44:16.202 T: 29.95199966430664 [C]; A:[-32, -6, 198]; H: 69.76751708984375
SENSE daaa 919 26-04-2019 03:44:16.643 T: 28.57919883728027 [C]; A:[116, 74, 210]; H: 71.18658447265625
SENSE daac 659 26-04-2019 03:44:16.777 T: 29.95199966430664 [C]; A:[-36, -10, 200]; H: 69.76751708984375
SENSE daab 920 26-04-2019 03:44:17.135 T: 29.45279884338378 [C]; A:[88, 0, 220]; H: 71.4993896484375
SENSE daaa 921 26-04-2019 03:44:17.420 T: 28.57919883728027 [C]; A:[122, 70, 208]; H: 71.18658447265625
SENSE daab 921 26-04-2019 03:44:17.553 T: 29.45279884338378 [C]; A:[92, 0, 224]; H: 71.46124267578125
SENSE daac 660 26-04-2019 03:44:17.352 T: 29.88959884643554 [C]; A:[-30, -14, 196]; H: 69.76751708984375
SENSE daaa 922 26-04-2019 03:44:17.823 T: 28.51679992675781 [C]; A:[120, 72, 210]; H: 71.18658447265625
SENSE daac 661 26-04-2019 03:44:17.923 T: 29.95199966430664 [C]; A:[-32, -10, 202]; H: 69.76751708984375
SENSE daaa 923 26-04-2019 03:44:18.221 T: 28.51679992675781 [C]; A:[114, 72, 208]; H: 71.18658447265625
SENSE daab 923 26-04-2019 03:44:18.319 T: 29.39039993286132 [C]; A:[88, 0, 214]; H: 71.4993896484375
SENSE daac 662 26-04-2019 03:44:18.498 T: 29.88959884643554 [C]; A:[-30, -8, 196]; H: 69.76751708984375
SENSE daaa 925 26-04-2019 03:44:18.992 T: 28.51679992675781 [C]; A:[118, 72, 208]; H: 71.18658447265625
SENSE daac 663 26-04-2019 03:44:19.093 T: 29.95199966430664 [C]; A:[-32, -10, 202]; H: 69.76751708984375
SENSE daab 926 26-04-2019 03:44:19.433 T: 29.45279884338378 [C]; A:[84, 0, 220]; H: 71.4993896484375
SENSE daaa 927 26-04-2019 03:44:19.769 T: 28.51679992675781 [C]; A:[122, 68, 212]; H: 71.18658447265625
SENSE daab 927 26-04-2019 03:44:19.846 T: 29.45279884338378 [C]; A:[82, 0, 218]; H: 71.46124267578125
SENSE daac 664 26-04-2019 03:44:19.668 T: 29.88959884643554 [C]; A:[-28, -8, 196]; H: 69.76751708984375
SENSE daaa 928 26-04-2019 03:44:20.167 T: 28.57919883728027 [C]; A:[120, 72, 206]; H: 71.18658447265625
SENSE daab 928 26-04-2019 03:44:20.249 T: 29.45279884338378 [C]; A:[88, 0, 218]; H: 71.46124267578125
SENSE daac 665 26-04-2019 03:44:20.228 T: 29.95199966430664 [C]; A:[-34, -12, 196]; H: 69.76751708984375
SENSE daaa 929 26-04-2019 03:44:20.565 T: 28.51679992675781 [C]; A:[122, 72, 216]; H: 71.18658447265625
SENSE daab 929 26-04-2019 03:44:20.647 T: 29.39039993286132 [C]; A:[82, 0, 212]; H: 71.46124267578125
SENSE daaa 930 26-04-2019 03:44:20.963 T: 28.51679992675781 [C]; A:[118, 70, 212]; H: 71.18658447265625
SENSE daac 666 26-04-2019 03:44:20.788 T: 29.95199966430664 [C]; A:[-34, -8, 202]; H: 69.76751708984375
SENSE daab 930 26-04-2019 03:44:21.055 T: 29.39039993286132 [C]; A:[84, 0, 224]; H: 71.46124267578125
SENSE daab 931 26-04-2019 03:44:21.453 T: 29.45279884338378 [C]; A:[90, -4, 220]; H: 71.46124267578125
SENSE daaa 932 26-04-2019 03:44:21.725 T: 28.51679992675781 [C]; A:[116, 76, 212]; H: 71.18658447265625
SENSE daab 932 26-04-2019 03:44:21.856 T: 29.39039993286132 [C]; A:[86, 0, 220]; H: 71.46124267578125
SENSE daac 668 26-04-2019 03:44:21.888 T: 29.95199966430664 [C]; A:[-26, -14, 190]; H: 69.76751708984375
SENSE daab 933 26-04-2019 03:44:22.254 T: 29.39039993286132 [C]; A:[82, 0, 216]; H: 71.46124267578125
SENSE daaa 934 26-04-2019 03:44:22.481 T: 28.51679992675781 [C]; A:[118, 70, 212]; H: 71.18658447265625
SENSE daaa 935 26-04-2019 03:44:22.879 T: 28.57919883728027 [C]; A:[116, 74, 210]; H: 71.18658447265625
SENSE daab 936 26-04-2019 03:44:23.393 T: 29.39039993286132 [C]; A:[84, 0, 218]; H: 71.46124267578125
SENSE daaa 937 26-04-2019 03:44:23.651 T: 28.51679992675781 [C]; A:[114, 72, 216]; H: 71.18658447265625
SENSE daab 937 26-04-2019 03:44:23.791 T: 29.39039993286132 [C]; A:[88, 0, 210]; H: 71.46124267578125
SENSE daab 938 26-04-2019 03:44:24.189 T: 29.39039993286132 [C]; A:[86, 0, 218]; H: 71.46124267578125
SENSE daac 672 26-04-2019 03:44:24.049 T: 29.95199966430664 [C]; A:[-32, -10, 200]; H: 69.76751708984375
SENSE daaa 939 26-04-2019 03:44:24.432 T: 28.57919883728027 [C]; A:[118, 70, 206]; H: 71.18658447265625
SENSE daab 939 26-04-2019 03:44:24.587 T: 29.39039993286132 [C]; A:[84, 0, 222]; H: 71.46124267578125
SENSE daaa 940 26-04-2019 03:44:24.845 T: 28.51679992675781 [C]; A:[112, 70, 212]; H: 71.18658447265625
SENSE daac 673 26-04-2019 03:44:24.634 T: 29.88959884643554 [C]; A:[-32, -8, 202]; H: 69.76751708984375
SENSE daab 940 26-04-2019 03:44:24.990 T: 29.39039993286132 [C]; A:[92, 0, 216]; H: 71.46124267578125
SENSE daaa 941 26-04-2019 03:44:25.243 T: 28.51679992675781 [C]; A:[110, 76, 204]; H: 71.18658447265625
SENSE daac 674 26-04-2019 03:44:25.194 T: 29.95199966430664 [C]; A:[-24, -16, 198]; H: 69.76751708984375
SENSE daaa 942 26-04-2019 03:44:25.641 T: 28.57919883728027 [C]; A:[112, 74, 210]; H: 71.18658447265625
SENSE daaa 943 26-04-2019 03:44:26.039 T: 28.51679992675781 [C]; A:[120, 74, 210]; H: 71.18658447265625
SENSE daab 943 26-04-2019 03:44:26.119 T: 29.39039993286132 [C]; A:[80, 0, 214]; H: 71.46124267578125
SENSE daac 676 26-04-2019 03:44:26.289 T: 29.88959884643554 [C]; A:[-28, -10, 196]; H: 69.76751708984375
SENSE daab 944 26-04-2019 03:44:26.517 T: 29.39039993286132 [C]; A:[86, 0, 220]; H: 71.46124267578125
SENSE daaa 945 26-04-2019 03:44:26.826 T: 28.51679992675781 [C]; A:[118, 76, 212]; H: 71.18658447265625
SENSE daab 945 26-04-2019 03:44:26.930 T: 29.39039993286132 [C]; A:[88, -6, 240]; H: 71.46124267578125
SENSE daac 677 26-04-2019 03:44:26.849 T: 29.95199966430664 [C]; A:[-26, -12, 206]; H: 69.76751708984375
SENSE daaa 946 26-04-2019 03:44:27.234 T: 28.51679992675781 [C]; A:[120, 76, 210]; H: 71.18658447265625
SENSE daaa 947 26-04-2019 03:44:27.632 T: 28.51679992675781 [C]; A:[118, 68, 210]; H: 71.239990234375
SENSE daab 947 26-04-2019 03:44:27.711 T: 29.39039993286132 [C]; A:[84, 0, 216]; H: 71.46124267578125
SENSE daaa 948 26-04-2019 03:44:28.030 T: 28.51679992675781 [C]; A:[118, 76, 214]; H: 71.239990234375
SENSE daab 948 26-04-2019 03:44:28.109 T: 29.32799911499023 [C]; A:[86, 0, 216]; H: 71.46124267578125
SENSE daac 679 26-04-2019 03:44:27.945 T: 29.95199966430664 [C]; A:[-32, -10, 194]; H: 69.76751708984375
SENSE daab 949 26-04-2019 03:44:28.507 T: 29.39039993286132 [C]; A:[88, 0, 216]; H: 71.46124267578125
SENSE daac 680 26-04-2019 03:44:28.505 T: 29.95199966430664 [C]; A:[-32, -6, 190]; H: 69.76751708984375
SENSE daaa 950 26-04-2019 03:44:28.807 T: 28.51679992675781 [C]; A:[118, 74, 216]; H: 71.239990234375
SENSE daab 950 26-04-2019 03:44:28.905 T: 29.39039993286132 [C]; A:[84, 0, 220]; H: 71.46124267578125
SENSE daaa 951 26-04-2019 03:44:29.210 T: 28.57919883728027 [C]; A:[116, 76, 208]; H: 71.239990234375
SENSE daac 681 26-04-2019 03:44:29.065 T: 29.88959884643554 [C]; A:[-34, -12, 200]; H: 69.76751708984375
SENSE daab 951 26-04-2019 03:44:29.303 T: 29.39039993286132 [C]; A:[86, 0, 220]; H: 71.49176025390625
SENSE daac 682 26-04-2019 03:44:29.650 T: 29.88959884643554 [C]; A:[-30, -12, 200]; H: 69.76751708984375
SENSE daaa 953 26-04-2019 03:44:29.991 T: 28.51679992675781 [C]; A:[118, 80, 210]; H: 71.239990234375
SENSE daab 953 26-04-2019 03:44:30.109 T: 29.39039993286132 [C]; A:[82, 0, 218]; H: 71.49176025390625
SENSE daaa 954 26-04-2019 03:44:30.389 T: 28.51679992675781 [C]; A:[116, 76, 210]; H: 71.239990234375
SENSE daab 954 26-04-2019 03:44:30.517 T: 29.39039993286132 [C]; A:[84, 0, 220]; H: 71.49176025390625
SENSE daaa 955 26-04-2019 03:44:30.788 T: 28.51679992675781 [C]; A:[116, 70, 206]; H: 71.239990234375
SENSE daab 955 26-04-2019 03:44:30.915 T: 29.45279884338378 [C]; A:[82, -4, 218]; H: 71.49176025390625
SENSE daac 684 26-04-2019 03:44:30.745 T: 29.95199966430664 [C]; A:[-30, -12, 200]; H: 69.76751708984375
SENSE daaa 956 26-04-2019 03:44:31.186 T: 28.51679992675781 [C]; A:[118, 76, 212]; H: 71.239990234375
SENSE daab 956 26-04-2019 03:44:31.328 T: 29.39039993286132 [C]; A:[86, 0, 220]; H: 71.49176025390625
SENSE daac 685 26-04-2019 03:44:31.305 T: 29.95199966430664 [C]; A:[-28, -12, 200]; H: 69.79803466796875
SENSE daaa 957 26-04-2019 03:44:31.605 T: 28.57919883728027 [C]; A:[124, 76, 214]; H: 71.239990234375
SENSE daab 957 26-04-2019 03:44:31.746 T: 29.39039993286132 [C]; A:[80, 0, 222]; H: 71.49176025390625
SENSE daaa 958 26-04-2019 03:44:32.002 T: 28.51679992675781 [C]; A:[116, 72, 208]; H: 71.239990234375
SENSE daac 686 26-04-2019 03:44:31.865 T: 29.95199966430664 [C]; A:[-32, -14, 194]; H: 69.79803466796875
SENSE daaa 959 26-04-2019 03:44:32.410 T: 28.57919883728027 [C]; A:[112, 76, 206]; H: 71.239990234375
SENSE daab 959 26-04-2019 03:44:32.517 T: 29.39039993286132 [C]; A:[86, 0, 216]; H: 71.49176025390625
SENSE daac 687 26-04-2019 03:44:32.440 T: 29.95199966430664 [C]; A:[-30, -10, 194]; H: 69.79803466796875
SENSE daaa 960 26-04-2019 03:44:32.818 T: 28.57919883728027 [C]; A:[118, 70, 210]; H: 71.239990234375
SENSE daab 960 26-04-2019 03:44:32.920 T: 29.39039993286132 [C]; A:[86, 0, 214]; H: 71.49176025390625
SENSE daac 688 26-04-2019 03:44:33.001 T: 29.95199966430664 [C]; A:[-32, -12, 194]; H: 69.79803466796875
SENSE daaa 962 26-04-2019 03:44:33.590 T: 28.57919883728027 [C]; A:[118, 72, 216]; H: 71.239990234375
SENSE daaa 963 26-04-2019 03:44:33.988 T: 28.51679992675781 [C]; A:[116, 74, 210]; H: 71.239990234375
SENSE daab 964 26-04-2019 03:44:34.432 T: 29.39039993286132 [C]; A:[86, 0, 222]; H: 71.49176025390625
SENSE daab 965 26-04-2019 03:44:34.830 T: 29.39039993286132 [C]; A:[86, 0, 222]; H: 71.49176025390625
SENSE daac 691 26-04-2019 03:44:34.621 T: 29.95199966430664 [C]; A:[-32, -10, 202]; H: 69.79803466796875
SENSE daaa 967 26-04-2019 03:44:35.496 T: 28.51679992675781 [C]; A:[118, 74, 216]; H: 71.239990234375
SENSE daab 967 26-04-2019 03:44:35.596 T: 29.39039993286132 [C]; A:[82, 0, 222]; H: 71.49176025390625
SENSE daac 693 26-04-2019 03:44:35.711 T: 29.95199966430664 [C]; A:[-36, -8, 194]; H: 69.79803466796875
SENSE daaa 969 26-04-2019 03:44:36.252 T: 28.57919883728027 [C]; A:[116, 70, 212]; H: 71.239990234375
SENSE daab 969 26-04-2019 03:44:36.372 T: 29.39039993286132 [C]; A:[86, 0, 214]; H: 71.49176025390625
SENSE daac 694 26-04-2019 03:44:36.291 T: 29.95199966430664 [C]; A:[-34, -10, 200]; H: 69.79803466796875
SENSE daaa 970 26-04-2019 03:44:36.650 T: 28.51679992675781 [C]; A:[120, 76, 210]; H: 71.239990234375
SENSE daab 970 26-04-2019 03:44:36.805 T: 29.32799911499023 [C]; A:[84, -4, 218]; H: 71.46124267578125
SENSE daaa 971 26-04-2019 03:44:37.054 T: 28.51679992675781 [C]; A:[114, 72, 214]; H: 71.239990234375
SENSE daac 695 26-04-2019 03:44:36.851 T: 29.95199966430664 [C]; A:[-30, -8, 200]; H: 69.79803466796875
SENSE daab 971 26-04-2019 03:44:37.203 T: 29.32799911499023 [C]; A:[84, 0, 222]; H: 71.49176025390625
SENSE daaa 972 26-04-2019 03:44:37.452 T: 28.51679992675781 [C]; A:[116, 76, 204]; H: 71.239990234375
SENSE daac 696 26-04-2019 03:44:37.421 T: 29.95199966430664 [C]; A:[-36, -8, 208]; H: 69.79803466796875
SENSE daaa 973 26-04-2019 03:44:37.850 T: 28.57919883728027 [C]; A:[116, 74, 208]; H: 71.239990234375
SENSE daab 973 26-04-2019 03:44:37.959 T: 29.39039993286132 [C]; A:[86, -4, 220]; H: 71.49176025390625
SENSE daaa 974 26-04-2019 03:44:38.248 T: 28.57919883728027 [C]; A:[114, 74, 214]; H: 71.239990234375
SENSE daac 697 26-04-2019 03:44:37.981 T: 29.95199966430664 [C]; A:[-28, -12, 200]; H: 69.79803466796875
SENSE daab 974 26-04-2019 03:44:38.362 T: 29.39039993286132 [C]; A:[82, 0, 218]; H: 71.49176025390625
SENSE daab 975 26-04-2019 03:44:38.760 T: 29.32799911499023 [C]; A:[84, 0, 220]; H: 71.49176025390625
SENSE daac 698 26-04-2019 03:44:38.546 T: 29.95199966430664 [C]; A:[-30, -16, 200]; H: 69.8209228515625
SENSE daaa 976 26-04-2019 03:44:39.024 T: 28.51679992675781 [C]; A:[114, 78, 210]; H: 71.239990234375
SENSE daab 976 26-04-2019 03:44:39.158 T: 29.39039993286132 [C]; A:[94, -8, 218]; H: 71.49176025390625
SENSE daac 699 26-04-2019 03:44:39.107 T: 29.95199966430664 [C]; A:[-30, -10, 202]; H: 69.8209228515625
SENSE daaa 977 26-04-2019 03:44:39.423 T: 28.51679992675781 [C]; A:[120, 76, 214]; H: 71.239990234375
SENSE daab 977 26-04-2019 03:44:39.556 T: 29.39039993286132 [C]; A:[86, 0, 216]; H: 71.49176025390625
SENSE daac 700 26-04-2019 03:44:39.667 T: 29.95199966430664 [C]; A:[-32, -6, 198]; H: 69.79803466796875
SENSE daaa 979 26-04-2019 03:44:40.194 T: 28.51679992675781 [C]; A:[116, 74, 208]; H: 71.239990234375
SENSE daab 979 26-04-2019 03:44:40.312 T: 29.32799911499023 [C]; A:[86, -4, 220]; H: 71.49176025390625
SENSE daac 701 26-04-2019 03:44:40.227 T: 29.95199966430664 [C]; A:[-30, -12, 202]; H: 69.79803466796875
SENSE daab 980 26-04-2019 03:44:40.716 T: 29.39039993286132 [C]; A:[88, -4, 222]; H: 71.49176025390625
SENSE daac 702 26-04-2019 03:44:40.797 T: 29.95199966430664 [C]; A:[-34, -12, 194]; H: 69.76751708984375
SENSE daab 981 26-04-2019 03:44:41.113 T: 29.39039993286132 [C]; A:[82, 0, 218]; H: 71.49176025390625
SENSE daab 981 26-04-2019 03:44:41.113 T: 29.39039993286132 [C]; A:[82, 0, 218]; H: 71.49176025390625
SENSE daaa 982 26-04-2019 03:44:41.324 T: 28.57919883728027 [C]; A:[118, 72, 212]; H: 71.239990234375
SENSE daab 982 26-04-2019 03:44:41.516 T: 29.39039993286132 [C]; A:[84, -4, 220]; H: 71.49176025390625
SENSE daac 703 26-04-2019 03:44:41.357 T: 29.95199966430664 [C]; A:[-28, -12, 202]; H: 69.73699951171875
SENSE daaa 983 26-04-2019 03:44:41.722 T: 28.51679992675781 [C]; A:[114, 78, 214]; H: 71.239990234375
SENSE daab 983 26-04-2019 03:44:41.914 T: 29.39039993286132 [C]; A:[88, 0, 222]; H: 71.49176025390625
SENSE daac 704 26-04-2019 03:44:41.917 T: 29.95199966430664 [C]; A:[-34, -14, 206]; H: 69.70648193359375
SENSE daaa 985 26-04-2019 03:44:42.489 T: 28.51679992675781 [C]; A:[116, 78, 212]; H: 71.239990234375
SENSE daac 705 26-04-2019 03:44:42.477 T: 29.95199966430664 [C]; A:[-28, -14, 230]; H: 69.70648193359375
SENSE daaa 986 26-04-2019 03:44:42.887 T: 28.51679992675781 [C]; A:[118, 74, 210]; H: 71.239990234375
SENSE daab 986 26-04-2019 03:44:43.033 T: 29.32799911499023 [C]; A:[88, 0, 214]; H: 71.49176025390625
SENSE daaa 987 26-04-2019 03:44:43.285 T: 28.51679992675781 [C]; A:[114, 74, 208]; H: 71.239990234375
SENSE daac 706 26-04-2019 03:44:43.037 T: 29.88959884643554 [C]; A:[-36, -12, 198]; H: 69.68359375
SENSE daab 987 26-04-2019 03:44:43.436 T: 29.39039993286132 [C]; A:[86, 0, 222]; H: 71.49176025390625
SENSE daaa 988 26-04-2019 03:44:43.683 T: 28.51679992675781 [C]; A:[114, 78, 212]; H: 71.239990234375
SENSE daab 988 26-04-2019 03:44:43.834 T: 29.39039993286132 [C]; A:[82, 0, 218]; H: 71.49176025390625
SENSE daac 707 26-04-2019 03:44:43.597 T: 29.95199966430664 [C]; A:[-32, -14, 196]; H: 69.68359375
SENSE daaa 989 26-04-2019 03:44:44.081 T: 28.57919883728027 [C]; A:[116, 76, 210]; H: 71.239990234375
SENSE daac 708 26-04-2019 03:44:44.178 T: 29.95199966430664 [C]; A:[-30, -12, 202]; H: 69.68359375
SENSE daaa 990 26-04-2019 03:44:44.479 T: 28.51679992675781 [C]; A:[116, 76, 214]; H: 71.239990234375
SENSE daab 990 26-04-2019 03:44:44.615 T: 29.32799911499023 [C]; A:[86, 0, 218]; H: 71.49176025390625
SENSE daaa 991 26-04-2019 03:44:44.883 T: 28.51679992675781 [C]; A:[120, 70, 210]; H: 71.239990234375
SENSE daab 991 26-04-2019 03:44:45.013 T: 29.39039993286132 [C]; A:[84, 0, 224]; H: 71.49176025390625
SENSE daaa 992 26-04-2019 03:44:45.311 T: 28.51679992675781 [C]; A:[122, 72, 208]; H: 71.239990234375
SENSE daab 992 26-04-2019 03:44:45.411 T: 29.32799911499023 [C]; A:[90, 0, 216]; H: 71.49176025390625
SENSE daab 992 26-04-2019 03:44:45.411 T: 29.32799911499023 [C]; A:[90, 0, 216]; H: 71.49176025390625
SENSE daac 710 26-04-2019 03:44:45.263 T: 29.88959884643554 [C]; A:[-34, -10, 194]; H: 69.68359375
SENSE daaa 993 26-04-2019 03:44:45.709 T: 28.51679992675781 [C]; A:[118, 74, 212]; H: 71.239990234375
SENSE daab 993 26-04-2019 03:44:45.769 T: 29.39039993286132 [C]; A:[86, 0, 218]; H: 71.49176025390625
SENSE daac 711 26-04-2019 03:44:45.818 T: 29.95199966430664 [C]; A:[-36, -14, 196]; H: 69.68359375
SENSE daaa 994 26-04-2019 03:44:46.142 T: 28.57919883728027 [C]; A:[118, 74, 220]; H: 71.239990234375
SENSE daab 994 26-04-2019 03:44:46.183 T: 29.39039993286132 [C]; A:[88, 0, 224]; H: 71.49176025390625
SENSE daaa 995 26-04-2019 03:44:46.575 T: 28.51679992675781 [C]; A:[118, 78, 214]; H: 71.239990234375
SENSE daab 995 26-04-2019 03:44:46.580 T: 29.39039993286132 [C]; A:[82, 0, 224]; H: 71.49176025390625
SENSE daac 712 26-04-2019 03:44:46.393 T: 29.95199966430664 [C]; A:[-32, -6, 202]; H: 69.70648193359375
SENSE daaa 996 26-04-2019 03:44:46.973 T: 28.51679992675781 [C]; A:[120, 76, 208]; H: 71.239990234375
SENSE daab 996 26-04-2019 03:44:46.978 T: 29.39039993286132 [C]; A:[88, -8, 218]; H: 71.49176025390625
SENSE daac 713 26-04-2019 03:44:46.958 T: 29.95199966430664 [C]; A:[-28, -10, 200]; H: 69.70648193359375
SENSE daaa 997 26-04-2019 03:44:47.371 T: 28.51679992675781 [C]; A:[116, 74, 214]; H: 71.239990234375
SENSE daab 997 26-04-2019 03:44:47.376 T: 29.39039993286132 [C]; A:[88, 0, 216]; H: 71.52227783203125
SENSE daac 714 26-04-2019 03:44:47.528 T: 29.95199966430664 [C]; A:[-34, -6, 200]; H: 69.73699951171875
